start_hour,start_month,start_weekday,duration_minutes,Distance(mi),Temperature(F),Visibility(mi),Amenity,Bump,Crossing,Junction,Railway,Stop,Traffic_Signal,Severity
17,7,5,30.0,0.0,86.0,10.0,0,0,0,0,0,0,0,2
10,8,3,30.0,0.0,62.6,10.0,0,0,0,1,0,0,0,2
23,7,1,45.0,0.0,70.0,10.0,0,0,0,0,0,0,0,2
17,6,6,30.0,0.0,89.6,10.0,0,0,0,0,0,0,0,2
8,8,0,45.0,0.0,57.9,10.0,0,0,0,1,0,0,0,3
21,12,4,44.55,0.01,60.1,10.0,0,0,0,1,1,0,0,3
9,4,3,60.0,0.01,68.0,10.0,0,0,0,0,0,0,0,2
17,12,2,29.6,0.0,57.7,10.0,0,0,0,0,0,0,0,2
21,9,4,43.233333333333334,0.0,64.4,10.0,0,0,0,0,0,0,0,3
12,12,5,29.85,0.0,57.9,8.0,0,0,0,0,0,0,0,2
9,11,1,33.85,0.01,75.0,5.0,0,0,0,0,0,0,0,3
21,11,2,44.71666666666667,0.01,73.9,10.0,0,0,0,0,0,0,1,3
15,12,1,29.466666666666665,0.01,64.9,7.0,0,0,0,0,0,0,0,3
3,1,5,44.68333333333333,0.01,48.0,10.0,0,0,0,0,0,0,0,2
4,12,4,44.483333333333334,0.01,55.0,1.8,0,0,0,0,0,0,0,2
13,9,2,30.0,0.0,73.0,10.0,0,0,0,0,0,0,0,2
13,11,3,44.65,0.01,89.1,10.0,0,0,0,0,0,0,0,3
18,7,3,45.0,0.0,96.4,10.0,0,0,0,0,0,0,1,2
12,8,3,40.81666666666667,0.0,86.0,10.0,0,0,0,0,0,0,0,3
9,8,0,38.55,0.0,79.0,10.0,0,0,0,0,0,0,0,2
22,9,4,60.0,0.0,63.0,10.0,0,0,0,0,0,0,0,2
0,4,3,60.0,0.01,50.0,10.0,1,0,1,0,0,0,1,2
18,11,5,59.7,0.01,64.9,10.0,0,0,0,0,0,0,0,3
23,8,3,45.0,0.0,77.0,10.0,0,0,0,0,0,0,1,2
5,7,0,46.03333333333333,0.0,64.0,10.0,0,0,0,0,0,0,0,2
10,4,1,30.0,0.01,70.0,10.0,0,0,0,1,0,0,0,3
9,1,1,29.6,0.01,,,0,0,0,0,0,0,0,3
3,8,5,60.0,0.0,64.2,10.0,0,0,0,0,0,0,0,2
7,3,3,30.0,0.01,46.8,10.0,0,0,1,0,0,0,1,2
19,9,4,45.0,0.0,69.1,10.0,0,0,0,0,0,0,0,2
19,4,0,75.0,0.01,64.4,10.0,0,0,0,0,0,0,0,3
10,1,2,29.633333333333333,0.01,51.1,10.0,0,0,0,0,0,0,0,2
15,1,4,29.7,0.01,59.0,10.0,0,0,0,1,0,0,0,2
3,7,1,45.0,0.0,62.1,10.0,0,0,1,0,0,0,1,3
22,6,1,30.0,0.0,72.0,10.0,0,0,0,0,0,0,0,2
10,5,2,90.0,0.01,62.1,10.0,0,0,0,0,0,1,0,2
19,8,4,45.0,0.0,84.2,7.0,0,0,0,0,0,0,0,2
10,8,1,45.0,0.0,66.9,10.0,0,0,0,1,0,0,0,3
5,7,4,37.266666666666666,0.0,73.0,10.0,0,0,0,0,0,0,0,3
8,4,4,30.0,0.0,57.0,8.0,0,0,0,0,0,0,0,2
17,12,4,44.8,0.01,55.0,10.0,0,0,0,0,0,0,0,2
18,8,4,45.0,0.0,73.4,10.0,0,0,0,0,0,0,0,2
0,4,5,30.0,0.0,55.9,10.0,0,0,0,0,0,0,0,2
17,2,3,45.0,0.01,36.0,10.0,0,0,0,0,0,0,0,2
19,12,2,29.5,0.01,44.1,10.0,0,0,0,0,0,0,0,3
11,11,4,29.733333333333334,0.01,64.0,10.0,0,0,0,1,0,0,0,2
11,7,4,45.333333333333336,0.0,84.2,9.0,0,0,0,0,0,0,0,3
12,10,3,33.35,0.0,78.1,10.0,0,0,0,0,0,0,0,3
4,10,0,44.6,0.01,63.0,2.5,0,0,0,0,0,0,0,3
13,7,4,75.0,0.0,75.0,10.0,0,0,0,0,0,0,0,3
